protocol,local_address,local_port,remote_address,remote_port,status,pid,service,security_status,recommendation,firewall_cmd
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59678,2a03:2880:f357:8d:face:b00c:0:2,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
TCP,127.0.0.1,59804,N/A,N/A,LISTEN,21044,Unknown,Safe,No action needed,N/A
TCP,10.0.0.125,59796,18.160.249.44,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
TCP,10.0.0.125,56873,34.237.73.95,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
TCP,127.0.0.1,59806,127.0.0.1,59805,ESTABLISHED,24036,Unknown,Safe,No action needed,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,57519,2607:f8b0:4023:140f::bc,5228,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
UDP,0.0.0.0,4500,N/A,N/A,NONE,5048,Unknown,Safe,No action needed,N/A
TCP,127.0.0.1,59807,127.0.0.1,59804,ESTABLISHED,9936,Unknown,Safe,No action needed,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59794,2a03:2880:f366:8d:face:b00c:0:2,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
UDP,10.0.0.125,138,N/A,N/A,NONE,4,Unknown,Safe,No action needed,N/A
TCP,10.0.0.125,57105,10.0.0.5,8009,ESTABLISHED,26960,Unknown,Safe,No action needed,N/A
UDP,fe80::355a:67bc:9906:35c4,1900,N/A,N/A,NONE,14100,Unknown,Safe,No action needed,N/A
TCP,0.0.0.0,49664,N/A,N/A,LISTEN,1248,Unknown,Safe,No action needed,N/A
TCP,0.0.0.0,5357,N/A,N/A,LISTEN,4,Unknown,Safe,No action needed,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,58582,2603:1036:304:807::2,443,ESTABLISHED,13128,Unknown,Safe,No action needed,N/A
TCP,10.0.0.125,58887,23.82.31.231,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
TCP,10.0.0.125,57038,20.169.174.231,443,ESTABLISHED,26960,Unknown,Safe,No action needed,N/A
TCP,127.0.0.1,59804,127.0.0.1,59807,ESTABLISHED,21044,Unknown,Safe,No action needed,N/A
UDP,0.0.0.0,50083,N/A,N/A,NONE,18516,Unknown,Safe,No action needed,N/A
TCP,::,49685,N/A,N/A,LISTEN,1220,Unknown,Safe,No action needed,N/A
UDP,::,49719,N/A,N/A,NONE,2092,Unknown,Safe,No action needed,N/A
UDP,0.0.0.0,5353,N/A,N/A,NONE,12524,Unknown,Safe,No action needed,N/A
TCP,10.0.0.125,59741,76.223.31.44,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
UDP,0.0.0.0,5353,N/A,N/A,NONE,19388,Unknown,Safe,No action needed,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,57534,2a03:2880:f357:186:face:b00c:0:1cc9,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
UDP,::,5353,N/A,N/A,NONE,2092,Unknown,Safe,No action needed,N/A
TCP,::,135,N/A,N/A,LISTEN,1564,Unknown,Safe,No action needed,N/A
TCP,::,7680,N/A,N/A,LISTEN,20168,Unknown,Safe,No action needed,N/A
UDP,::1,1900,N/A,N/A,NONE,14100,Unknown,Safe,No action needed,N/A
UDP,::,50719,N/A,N/A,NONE,2092,Unknown,Safe,No action needed,N/A
TCP,0.0.0.0,49668,N/A,N/A,LISTEN,3248,Unknown,Safe,No action needed,N/A
TCP,127.0.0.1,49924,127.0.0.1,49925,ESTABLISHED,14820,Unknown,Safe,No action needed,N/A
UDP,::,123,N/A,N/A,NONE,26972,Unknown,Safe,No action needed,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59624,2001:558:feed:443::109,443,ESTABLISHED,16020,Unknown,Safe,No action needed,N/A
TCP,127.0.0.1,49728,127.0.0.1,49729,ESTABLISHED,4948,Unknown,Safe,No action needed,N/A
UDP,::,500,N/A,N/A,NONE,5048,Unknown,Safe,No action needed,N/A
UDP,::,49666,N/A,N/A,NONE,5748,Unknown,Safe,No action needed,N/A
UDP,10.0.0.125,1900,N/A,N/A,NONE,14100,Unknown,Safe,No action needed,N/A
UDP,::1,62713,N/A,N/A,NONE,14100,Unknown,Safe,No action needed,N/A
UDP,0.0.0.0,49719,N/A,N/A,NONE,2092,Unknown,Safe,No action needed,N/A
TCP,0.0.0.0,445,N/A,N/A,LISTEN,4,SMB,"Risky: Exploited by ransomware (e.g., EternalBlue)",Block unless required for file sharing,"netsh advfirewall firewall add rule name=""Block 445"" dir=in action=block protocol=TCP localport=445"
UDP,::,5353,N/A,N/A,NONE,12524,Unknown,Safe,No action needed,N/A
TCP,::,49668,N/A,N/A,LISTEN,3248,Unknown,Safe,No action needed,N/A
TCP,10.0.0.125,56980,10.0.0.238,8009,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
TCP,0.0.0.0,49670,N/A,N/A,LISTEN,4452,Unknown,Safe,No action needed,N/A
TCP,127.0.0.1,49726,127.0.0.1,49727,ESTABLISHED,1640,Unknown,Safe,No action needed,N/A
TCP,0.0.0.0,49685,N/A,N/A,LISTEN,1220,Unknown,Safe,No action needed,N/A
UDP,0.0.0.0,3702,N/A,N/A,NONE,5748,Unknown,Safe,No action needed,N/A
TCP,10.0.0.125,56969,10.0.0.5,8009,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
UDP,0.0.0.0,3702,N/A,N/A,NONE,3716,Unknown,Safe,No action needed,N/A
UDP,::,5353,N/A,N/A,NONE,19388,Unknown,Safe,No action needed,N/A
TCP,::,49670,N/A,N/A,LISTEN,4452,Unknown,Safe,No action needed,N/A
TCP,0.0.0.0,135,N/A,N/A,LISTEN,1564,Unknown,Safe,No action needed,N/A
TCP,10.0.0.125,59740,151.101.65.55,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59516,2a03:2880:f357:91:face:b00c:0:6206,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
TCP,0.0.0.0,49669,N/A,N/A,LISTEN,3404,Unknown,Safe,No action needed,N/A
TCP,0.0.0.0,7680,N/A,N/A,LISTEN,20168,Unknown,Safe,No action needed,N/A
